[i] Train : 19922
[i] Valid : 2214
[i] prediction_op : Tensor("concat:0", shape=(?, 7, 7, 2, 25), dtype=float32)
[i] max_iteration : 249000
[i] decay_iteration : [124500 186750]
[i] iter : 4050, loss : 18.1511, xy_loss : 0.9947, wh_loss : 0.2089, obj_loss : 0.2309, noobj_loss : 6.8610, class_loss : 0.9412, l2_reg_loss : 8.9145, train_time : 40sec
[i] iter : 4100, loss : 18.1721, xy_loss : 0.9373, wh_loss : 0.2391, obj_loss : 0.2352, noobj_loss : 6.8577, class_loss : 0.9981, l2_reg_loss : 8.9047, train_time : 38sec
[i] iter : 4150, loss : 17.9983, xy_loss : 0.9386, wh_loss : 0.2086, obj_loss : 0.2375, noobj_loss : 6.7932, class_loss : 0.9255, l2_reg_loss : 8.8949, train_time : 39sec
[i] iter : 4200, loss : 17.8035, xy_loss : 0.8910, wh_loss : 0.1998, obj_loss : 0.2351, noobj_loss : 6.7522, class_loss : 0.8402, l2_reg_loss : 8.8851, train_time : 39sec
[i] iter : 4250, loss : 17.9847, xy_loss : 0.9774, wh_loss : 0.2052, obj_loss : 0.2465, noobj_loss : 6.6882, class_loss : 0.9921, l2_reg_loss : 8.8753, train_time : 39sec
[i] iter : 4300, loss : 17.8986, xy_loss : 1.0259, wh_loss : 0.2070, obj_loss : 0.2396, noobj_loss : 6.6218, class_loss : 0.9388, l2_reg_loss : 8.8655, train_time : 39sec
[i] iter : 4350, loss : 17.6407, xy_loss : 0.8865, wh_loss : 0.2031, obj_loss : 0.2266, noobj_loss : 6.6221, class_loss : 0.8467, l2_reg_loss : 8.8558, train_time : 38sec
[i] iter : 4400, loss : 17.7395, xy_loss : 0.9626, wh_loss : 0.2085, obj_loss : 0.2363, noobj_loss : 6.5438, class_loss : 0.9422, l2_reg_loss : 8.8460, train_time : 38sec
[i] iter : 4450, loss : 17.4997, xy_loss : 0.9033, wh_loss : 0.1853, obj_loss : 0.2242, noobj_loss : 6.5293, class_loss : 0.8213, l2_reg_loss : 8.8363, train_time : 38sec
[i] iter : 4500, loss : 17.5444, xy_loss : 0.9084, wh_loss : 0.1966, obj_loss : 0.2328, noobj_loss : 6.5051, class_loss : 0.8750, l2_reg_loss : 8.8265, train_time : 38sec
[i] iter : 4550, loss : 17.9836, xy_loss : 1.0759, wh_loss : 0.2635, obj_loss : 0.2832, noobj_loss : 6.4150, class_loss : 1.1292, l2_reg_loss : 8.8168, train_time : 38sec
[i] iter : 4600, loss : 17.4269, xy_loss : 0.9149, wh_loss : 0.1870, obj_loss : 0.2450, noobj_loss : 6.3964, class_loss : 0.8763, l2_reg_loss : 8.8072, train_time : 38sec
[i] iter : 4650, loss : 17.4027, xy_loss : 0.9237, wh_loss : 0.1926, obj_loss : 0.2391, noobj_loss : 6.3606, class_loss : 0.8892, l2_reg_loss : 8.7976, train_time : 38sec
[i] iter : 4700, loss : 17.4601, xy_loss : 0.9905, wh_loss : 0.2200, obj_loss : 0.2501, noobj_loss : 6.2880, class_loss : 0.9236, l2_reg_loss : 8.7879, train_time : 38sec
[i] iter : 4750, loss : 16.9725, xy_loss : 0.7793, wh_loss : 0.1703, obj_loss : 0.2042, noobj_loss : 6.3363, class_loss : 0.7042, l2_reg_loss : 8.7782, train_time : 37sec
[i] iter : 4800, loss : 17.1600, xy_loss : 0.9228, wh_loss : 0.1785, obj_loss : 0.2361, noobj_loss : 6.2397, class_loss : 0.8144, l2_reg_loss : 8.7685, train_time : 38sec
[i] iter : 4850, loss : 17.0255, xy_loss : 0.8561, wh_loss : 0.1885, obj_loss : 0.2182, noobj_loss : 6.2097, class_loss : 0.7941, l2_reg_loss : 8.7588, train_time : 38sec
[i] iter : 4900, loss : 17.0238, xy_loss : 0.8817, wh_loss : 0.1748, obj_loss : 0.2345, noobj_loss : 6.2173, class_loss : 0.7663, l2_reg_loss : 8.7491, train_time : 38sec
[i] iter : 4950, loss : 17.0179, xy_loss : 0.9054, wh_loss : 0.1723, obj_loss : 0.2250, noobj_loss : 6.1307, class_loss : 0.8451, l2_reg_loss : 8.7395, train_time : 38sec
[i] iter : 5000, loss : 17.1676, xy_loss : 1.0130, wh_loss : 0.2057, obj_loss : 0.2523, noobj_loss : 6.1089, class_loss : 0.8577, l2_reg_loss : 8.7299, train_time : 37sec
[i] valid mAP : 41.539856, best valid mAP : 41.539856
[i] iter : 5050, loss : 16.7652, xy_loss : 0.8222, wh_loss : 0.1752, obj_loss : 0.2248, noobj_loss : 6.0916, class_loss : 0.7310, l2_reg_loss : 8.7203, train_time : 171sec
[i] iter : 5100, loss : 16.8759, xy_loss : 0.8855, wh_loss : 0.1961, obj_loss : 0.2534, noobj_loss : 6.0526, class_loss : 0.7776, l2_reg_loss : 8.7106, train_time : 38sec
[i] iter : 5150, loss : 16.9182, xy_loss : 0.8857, wh_loss : 0.1968, obj_loss : 0.2553, noobj_loss : 6.0100, class_loss : 0.8693, l2_reg_loss : 8.7011, train_time : 39sec
[i] iter : 5200, loss : 16.9254, xy_loss : 0.9215, wh_loss : 0.2190, obj_loss : 0.2444, noobj_loss : 5.9674, class_loss : 0.8815, l2_reg_loss : 8.6916, train_time : 39sec
[i] iter : 5250, loss : 16.8826, xy_loss : 0.9598, wh_loss : 0.2164, obj_loss : 0.2653, noobj_loss : 5.9121, class_loss : 0.8470, l2_reg_loss : 8.6821, train_time : 38sec
[i] iter : 5300, loss : 16.6645, xy_loss : 0.8738, wh_loss : 0.1942, obj_loss : 0.2244, noobj_loss : 5.8592, class_loss : 0.8403, l2_reg_loss : 8.6726, train_time : 38sec
[i] iter : 5350, loss : 16.5022, xy_loss : 0.8405, wh_loss : 0.1691, obj_loss : 0.2255, noobj_loss : 5.8412, class_loss : 0.7627, l2_reg_loss : 8.6631, train_time : 38sec
[i] iter : 5400, loss : 16.4591, xy_loss : 0.8518, wh_loss : 0.1823, obj_loss : 0.2381, noobj_loss : 5.7921, class_loss : 0.7411, l2_reg_loss : 8.6536, train_time : 38sec
[i] iter : 5450, loss : 16.6363, xy_loss : 0.9128, wh_loss : 0.1910, obj_loss : 0.2692, noobj_loss : 5.7813, class_loss : 0.8381, l2_reg_loss : 8.6441, train_time : 38sec
[i] iter : 5500, loss : 16.7796, xy_loss : 0.9959, wh_loss : 0.2162, obj_loss : 0.2838, noobj_loss : 5.7160, class_loss : 0.9330, l2_reg_loss : 8.6346, train_time : 37sec
[i] iter : 5550, loss : 16.4565, xy_loss : 0.9220, wh_loss : 0.1973, obj_loss : 0.2342, noobj_loss : 5.7032, class_loss : 0.7745, l2_reg_loss : 8.6252, train_time : 38sec
[i] iter : 5600, loss : 16.2654, xy_loss : 0.7967, wh_loss : 0.1850, obj_loss : 0.2383, noobj_loss : 5.7083, class_loss : 0.7213, l2_reg_loss : 8.6158, train_time : 39sec
[i] iter : 5650, loss : 16.4730, xy_loss : 0.9373, wh_loss : 0.1771, obj_loss : 0.2670, noobj_loss : 5.6385, class_loss : 0.8468, l2_reg_loss : 8.6064, train_time : 39sec
[i] iter : 5700, loss : 16.4174, xy_loss : 0.9635, wh_loss : 0.2065, obj_loss : 0.2739, noobj_loss : 5.5660, class_loss : 0.8105, l2_reg_loss : 8.5969, train_time : 37sec
